company_name,scheme,award_date,project_summary,url,website,city
Theranautilus Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
UR Advanced Therapeutics Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
VeGen Labs LLP,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Xact Diagnotek Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
AnalyticsPlus India Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Aspiel Syringes Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Auric Cosmo India Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Avinya NeuroTech Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Brainwaves Neurorehab Solutions Pvt Ltd,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Canary Biosensors LLP,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Cancrie Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Elmentoz Research Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Fins and Tails Agritech Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Gbact Solutions Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Intisen Technology Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Mabgenex Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Mini Mines Cleantech Solutions Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Nubiogenx Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Nutricape Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Pequrel Microelectronics Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Plabs Solutions Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Plotnew Bio Innovations Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Qualivon Technologies Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Quan2D Technologies Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Roha Precision Systems Development Llp,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Serocode Biolabs Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Silifarm Technologies Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Xpredict Automation Solutions Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
AgAutomate Pvt Ltd,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Bioinnovatiq Lifescience Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Buzzworthy Ventures Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Daji Industries Pvt Ltd,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Declutter Solutions Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
